run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K30_sw9_lam1.0_kmax4,30,9,1.0,250,28,19,2,124,13.157894736842104,30,19,1960,5040,0.28,70.0,0.0,180.0,8.345088,0.73671,233.662464,2.853383,0,224,162,146,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K35_sw2_lam0.25_kmax4,35,2,0.25,250,28,30,2,49,8.333333333333334,35,30,2263,4737,0.3233,80.82,19.475357,169.18,4.258751,1.179857,119.245039,3.091667,12,303,121,404,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K35_sw2_lam0.5_kmax4,35,2,0.5,250,28,30,2,49,8.333333333333334,35,30,2156,4844,0.308,77.0,0.0,173.0,7.119729,1.198006,199.352409,3.125,0,308,119,413,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K35_sw2_lam1.0_kmax4,35,2,1.0,250,28,30,2,49,8.333333333333334,35,30,2156,4844,0.308,77.0,0.0,173.0,12.825528,1.198006,359.114791,3.125,0,308,119,413,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K35_sw3_lam0.25_kmax4,35,3,0.25,250,28,28,2,74,8.928571428571429,35,28,2105,4895,0.3007,75.18,20.375149,174.82,3.805023,1.196214,106.540639,3.274235,15,189,146,434,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K35_sw3_lam0.5_kmax4,35,3,0.5,250,28,28,2,74,8.928571428571429,35,28,1989,5011,0.2841,71.04,0.185577,178.96,6.219195,1.229735,174.137456,3.316327,1,195,143,445,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K35_sw3_lam1.0_kmax4,35,3,1.0,250,28,28,2,74,8.928571428571429,35,28,1988,5012,0.284,71.0,0.0,179.0,11.01392,1.246662,308.389773,3.317602,0,196,143,445,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K35_sw5_lam0.25_kmax4,35,5,0.25,250,28,24,2,105,10.416666666666666,35,24,2074,4926,0.2963,74.07,20.197115,175.93,3.175,1.054061,88.900007,3.40625,7,90,198,377,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K35_sw5_lam0.5_kmax4,35,5,0.5,250,28,24,2,105,10.416666666666666,35,24,1961,5039,0.2801,70.04,0.185577,179.96,5.130544,1.074713,143.655233,3.441964,0,85,205,382,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K35_sw5_lam1.0_kmax4,35,5,1.0,250,28,24,2,105,10.416666666666666,35,24,1960,5040,0.28,70.0,0.0,180.0,9.02032,1.085651,252.56895,3.443452,0,84,206,382,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K35_sw9_lam0.25_kmax4,35,9,0.25,250,28,21,2,124,11.904761904761905,35,21,2130,4870,0.3043,76.07,20.007014,173.93,2.972165,0.801451,83.220606,2.921769,4,227,168,189,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K35_sw9_lam0.5_kmax4,35,9,0.5,250,28,21,2,124,11.904761904761905,35,21,2017,4983,0.2881,72.04,0.185577,177.96,5.026082,0.819134,140.730298,2.943878,0,225,171,192,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K35_sw9_lam1.0_kmax4,35,9,1.0,250,28,21,2,124,11.904761904761905,35,21,2016,4984,0.288,72.0,0.0,178.0,9.114802,0.829797,255.214462,2.945578,0,224,172,192,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
